"district","county","year","sex","grade_level","number_overweight","percent_overweight","number_obese","percent_obese","number_overweight_or_obese","percent_overweight_or_obese","number_healthy_weight","percent_healthy_weight","num_asian","num_black","num_hisp","num_am_ind","num_white","num_female","num_male","num_lep","num_multi","num_swd","num_ecdis","num_free_lunch","num_reduced_lunch"
10402,"ALBANY",2012,"FEMALE","ELEMENTARY",20,11,39,21.5,59,32.6,122,0.674,16,81,110,1,1677,930,1016,17,61,281,753,544,143
10402,"ALBANY",2015,"FEMALE","ELEMENTARY",20,11,39,21.5,59,32.6,122,0.674,18,74,117,1,1493,868,919,11,84,249,784,650,74
10402,"ALBANY",2016,"FEMALE","ELEMENTARY",20,11,39,21.5,59,32.6,122,0.674,13,79,129,1,1459,862,905,14,86,275,775,672,59
10402,"ALBANY",2017,"FEMALE","ELEMENTARY",20,11,39,21.5,59,32.6,122,0.674,21,72,145,1,1528,914,948,8,95,324,811,653,73
10402,"ALBANY",2013,"FEMALE","ELEMENTARY",20,11,39,21.5,59,32.6,122,0.674,20,73,119,1,1592,890,982,15,67,242,747,585,107
10402,"ALBANY",2014,"FEMALE","ELEMENTARY",20,11,39,21.5,59,32.6,122,0.674,20,74,114,1,1537,870,953,14,77,259,659,443,52
10402,"ALBANY",2012,"MALE","ELEMENTARY",41,17.3,45,19,86,36.3,146,0.616,16,81,110,1,1677,930,1016,17,61,281,753,544,143
10402,"ALBANY",2015,"MALE","ELEMENTARY",41,17.3,45,19,86,36.3,146,0.616,18,74,117,1,1493,868,919,11,84,249,784,650,74
10402,"ALBANY",2016,"MALE","ELEMENTARY",41,17.3,45,19,86,36.3,146,0.616,13,79,129,1,1459,862,905,14,86,275,775,672,59
10402,"ALBANY",2017,"MALE","ELEMENTARY",41,17.3,45,19,86,36.3,146,0.616,21,72,145,1,1528,914,948,8,95,324,811,653,73
10402,"ALBANY",2013,"MALE","ELEMENTARY",41,17.3,45,19,86,36.3,146,0.616,20,73,119,1,1592,890,982,15,67,242,747,585,107
10402,"ALBANY",2014,"MALE","ELEMENTARY",41,17.3,45,19,86,36.3,146,0.616,20,74,114,1,1537,870,953,14,77,259,659,443,52
10402,"ALBANY",2012,"FEMALE","MIDDLE/HIGH",26,19.8,32,24.4,58,44.3,73,0.557,16,81,110,1,1677,930,1016,17,61,281,753,544,143
10402,"ALBANY",2015,"FEMALE","MIDDLE/HIGH",26,19.8,32,24.4,58,44.3,73,0.557,18,74,117,1,1493,868,919,11,84,249,784,650,74
10402,"ALBANY",2016,"FEMALE","MIDDLE/HIGH",26,19.8,32,24.4,58,44.3,73,0.557,13,79,129,1,1459,862,905,14,86,275,775,672,59
10402,"ALBANY",2017,"FEMALE","MIDDLE/HIGH",26,19.8,32,24.4,58,44.3,73,0.557,21,72,145,1,1528,914,948,8,95,324,811,653,73
10402,"ALBANY",2013,"FEMALE","MIDDLE/HIGH",26,19.8,32,24.4,58,44.3,73,0.557,20,73,119,1,1592,890,982,15,67,242,747,585,107
10402,"ALBANY",2014,"FEMALE","MIDDLE/HIGH",26,19.8,32,24.4,58,44.3,73,0.557,20,74,114,1,1537,870,953,14,77,259,659,443,52
10402,"ALBANY",2012,"MALE","MIDDLE/HIGH",19,14,36,26.5,55,40.4,81,0.596,16,81,110,1,1677,930,1016,17,61,281,753,544,143
10402,"ALBANY",2015,"MALE","MIDDLE/HIGH",19,14,36,26.5,55,40.4,81,0.596,18,74,117,1,1493,868,919,11,84,249,784,650,74
10402,"ALBANY",2016,"MALE","MIDDLE/HIGH",19,14,36,26.5,55,40.4,81,0.596,13,79,129,1,1459,862,905,14,86,275,775,672,59
10402,"ALBANY",2017,"MALE","MIDDLE/HIGH",19,14,36,26.5,55,40.4,81,0.596,21,72,145,1,1528,914,948,8,95,324,811,653,73
10402,"ALBANY",2013,"MALE","MIDDLE/HIGH",19,14,36,26.5,55,40.4,81,0.596,20,73,119,1,1592,890,982,15,67,242,747,585,107
10402,"ALBANY",2014,"MALE","MIDDLE/HIGH",19,14,36,26.5,55,40.4,81,0.596,20,74,114,1,1537,870,953,14,77,259,659,443,52
10500,"ALBANY",2015,"FEMALE","ELEMENTARY",36,19.4,37,19.9,73,39.2,100,0.538,19,164,133,5,1443,910,951,25,97,282,1271,1097,94
10500,"ALBANY",2017,"FEMALE","ELEMENTARY",36,19.4,37,19.9,73,39.2,100,0.538,28,184,178,4,1489,991,1031,20,139,318,1336,1149,72
10500,"ALBANY",2014,"FEMALE","ELEMENTARY",36,19.4,37,19.9,73,39.2,100,0.538,17,162,121,5,1457,900,952,28,90,272,1271,1107,129
10500,"ALBANY",2012,"FEMALE","ELEMENTARY",36,19.4,37,19.9,73,39.2,100,0.538,23,161,104,2,1524,919,965,32,70,255,1225,943,181
10500,"ALBANY",2016,"FEMALE","ELEMENTARY",36,19.4,37,19.9,73,39.2,100,0.538,24,168,153,5,1445,923,975,27,103,304,1236,1148,48
10500,"ALBANY",2013,"FEMALE","ELEMENTARY",36,19.4,37,19.9,73,39.2,100,0.538,23,167,115,3,1527,919,983,34,67,270,1296,1003,156
10500,"ALBANY",2015,"MALE","ELEMENTARY",31,14.4,52,24.2,83,38.6,113,0.526,19,164,133,5,1443,910,951,25,97,282,1271,1097,94
10500,"ALBANY",2017,"MALE","ELEMENTARY",31,14.4,52,24.2,83,38.6,113,0.526,28,184,178,4,1489,991,1031,20,139,318,1336,1149,72
10500,"ALBANY",2014,"MALE","ELEMENTARY",31,14.4,52,24.2,83,38.6,113,0.526,17,162,121,5,1457,900,952,28,90,272,1271,1107,129
10500,"ALBANY",2012,"MALE","ELEMENTARY",31,14.4,52,24.2,83,38.6,113,0.526,23,161,104,2,1524,919,965,32,70,255,1225,943,181
10500,"ALBANY",2016,"MALE","ELEMENTARY",31,14.4,52,24.2,83,38.6,113,0.526,24,168,153,5,1445,923,975,27,103,304,1236,1148,48
10500,"ALBANY",2013,"MALE","ELEMENTARY",31,14.4,52,24.2,83,38.6,113,0.526,23,167,115,3,1527,919,983,34,67,270,1296,1003,156
10500,"ALBANY",2015,"FEMALE","MIDDLE/HIGH",16,16.5,26,26.8,42,43.3,55,0.567,19,164,133,5,1443,910,951,25,97,282,1271,1097,94
10500,"ALBANY",2017,"FEMALE","MIDDLE/HIGH",16,16.5,26,26.8,42,43.3,55,0.567,28,184,178,4,1489,991,1031,20,139,318,1336,1149,72
10500,"ALBANY",2014,"FEMALE","MIDDLE/HIGH",16,16.5,26,26.8,42,43.3,55,0.567,17,162,121,5,1457,900,952,28,90,272,1271,1107,129
