"district","county","number_overweight","percent_overweight","number_obese","percent_obese","number_overweight_or_obese","percent_overweight_or_obese","grade_level","number_healthy_weight","percent_healthy_weight","sex","year","num_asian","num_black","num_hisp","num_am_ind","num_white","num_female","num_male","num_lep","num_multi","num_swd","num_ecdis"
10402,"ALBANY",28,11.4,28,11.4,56,22.8,"ELEMENTARY",181,0.736,"FEMALE",2019,14,74,152,1,1504,909,934,13,98,320,786
10402,"ALBANY",35,13.9,42,16.7,77,30.6,"ELEMENTARY",159,0.631,"MALE",2019,14,74,152,1,1504,909,934,13,98,320,786
10402,"ALBANY",21,23.6,17,19.1,38,42.7,"MIDDLE/HIGH",51,0.573,"FEMALE",2019,14,74,152,1,1504,909,934,13,98,320,786
10402,"ALBANY",9,9.9,28,30.8,37,40.7,"MIDDLE/HIGH",54,0.593,"MALE",2019,14,74,152,1,1504,909,934,13,98,320,786
10500,"ALBANY",16,20,22,27.5,38,47.5,"MIDDLE/HIGH",42,0.525,"MALE",2019,33,208,174,7,1429,1008,1007,25,164,338,1175
10500,"ALBANY",36,20,38,21.1,74,41.1,"ELEMENTARY",96,0.533,"FEMALE",2019,33,208,174,7,1429,1008,1007,25,164,338,1175
10500,"ALBANY",39,17.7,43,19.5,82,37.3,"ELEMENTARY",121,0.55,"MALE",2019,33,208,174,7,1429,1008,1007,25,164,338,1175
10500,"ALBANY",18,16.7,30,27.8,48,44.4,"MIDDLE/HIGH",60,0.556,"FEMALE",2019,33,208,174,7,1429,1008,1007,25,164,338,1175
10601,"ALBANY",70,13.8,97,19.1,167,32.9,"ELEMENTARY",321,0.633,"FEMALE",2019,498,395,425,6,3105,2401,2418,182,390,717,1708
10601,"ALBANY",81,16.5,83,16.9,164,33.5,"ELEMENTARY",317,0.647,"MALE",2019,498,395,425,6,3105,2401,2418,182,390,717,1708
10601,"ALBANY",60,19.1,63,20.1,123,39.2,"MIDDLE/HIGH",175,0.557,"FEMALE",2019,498,395,425,6,3105,2401,2418,182,390,717,1708
10601,"ALBANY",46,15.7,69,23.5,115,39.2,"MIDDLE/HIGH",169,0.577,"MALE",2019,498,395,425,6,3105,2401,2418,182,390,717,1708
10623,"ALBANY",89,16.7,68,12.8,157,29.5,"ELEMENTARY",353,0.662,"FEMALE",2019,1121,382,334,16,3703,2914,2973,313,331,792,1442
10623,"ALBANY",76,14.9,81,15.9,157,30.8,"ELEMENTARY",328,0.643,"MALE",2019,1121,382,334,16,3703,2914,2973,313,331,792,1442
10623,"ALBANY",90,21,39,9.1,129,30.1,"MIDDLE/HIGH",288,0.673,"FEMALE",2019,1121,382,334,16,3703,2914,2973,313,331,792,1442
10623,"ALBANY",79,16.7,80,16.9,159,33.5,"MIDDLE/HIGH",299,0.631,"MALE",2019,1121,382,334,16,3703,2914,2973,313,331,792,1442
10802,"ALBANY",85,17.4,70,14.3,155,31.7,"ELEMENTARY",316,0.646,"MALE",2019,701,201,187,7,3568,2390,2451,227,177,587,999
10802,"ALBANY",74,14.7,62,12.4,136,27.1,"ELEMENTARY",347,0.691,"FEMALE",2019,701,201,187,7,3568,2390,2451,227,177,587,999
10802,"ALBANY",69,21.7,32,10.1,101,31.8,"MIDDLE/HIGH",209,0.657,"FEMALE",2019,701,201,187,7,3568,2390,2451,227,177,587,999
10802,"ALBANY",56,17.3,56,17.3,112,34.6,"MIDDLE/HIGH",202,0.623,"MALE",2019,701,201,187,7,3568,2390,2451,227,177,587,999
22601,"ALLEGANY",19,15.4,17,13.8,36,29.3,"ELEMENTARY",79,0.642,"FEMALE",2019,6,15,21,4,1059,569,549,1,13,164,562
22601,"ALLEGANY",21,16.7,22,17.5,43,34.1,"ELEMENTARY",83,0.659,"MALE",2019,6,15,21,4,1059,569,549,1,13,164,562
22601,"ALLEGANY",22,25.3,23,26.4,45,51.7,"MIDDLE/HIGH",42,0.483,"FEMALE",2019,6,15,21,4,1059,569,549,1,13,164,562
22601,"ALLEGANY",14,16.7,24,28.6,38,45.2,"MIDDLE/HIGH",46,0.548,"MALE",2019,6,15,21,4,1059,569,549,1,13,164,562
30101,"BROOME",25,21.9,14,12.3,39,34.2,"ELEMENTARY",75,0.658,"FEMALE",2019,7,16,28,3,1301,648,756,2,49,158,564
30101,"BROOME",23,15.8,22,15.1,45,30.8,"ELEMENTARY",101,0.692,"MALE",2019,7,16,28,3,1301,648,756,2,49,158,564
30101,"BROOME",25,23.8,24,22.9,49,46.7,"MIDDLE/HIGH",56,0.533,"FEMALE",2019,7,16,28,3,1301,648,756,2,49,158,564
30101,"BROOME",13,11,34,28.8,47,39.8,"MIDDLE/HIGH",65,0.551,"MALE",2019,7,16,28,3,1301,648,756,2,49,158,564
30200,"BROOME",64,14,102,22.4,166,36.4,"ELEMENTARY",275,0.603,"FEMALE",2019,153,1491,778,9,2206,2562,2717,197,642,961,3843
30200,"BROOME",80,17.1,91,19.4,171,36.5,"ELEMENTARY",277,0.592,"MALE",2019,153,1491,778,9,2206,2562,2717,197,642,961,3843
30200,"BROOME",29,15.5,53,28.3,82,43.9,"MIDDLE/HIGH",105,0.561,"FEMALE",2019,153,1491,778,9,2206,2562,2717,197,642,961,3843
30200,"BROOME",26,13.3,62,31.6,88,44.9,"MIDDLE/HIGH",101,0.515,"MALE",2019,153,1491,778,9,2206,2562,2717,197,642,961,3843
30501,"BROOME",9,12.2,15,20.3,24,32.4,"ELEMENTARY",50,0.676,"FEMALE",2019,1,7,3,2,645,293,384,0,19,102,458
30501,"BROOME",15,14.9,22,21.8,37,36.6,"ELEMENTARY",64,0.634,"MALE",2019,1,7,3,2,645,293,384,0,19,102,458
30501,"BROOME",6,12.5,15,31.3,21,43.8,"MIDDLE/HIGH",27,0.563,"FEMALE",2019,1,7,3,2,645,293,384,0,19,102,458
30501,"BROOME",9,17.3,12,23.1,21,40.4,"MIDDLE/HIGH",31,0.596,"MALE",2019,1,7,3,2,645,293,384,0,19,102,458
30601,"BROOME",31,19.3,27,16.8,58,36,"ELEMENTARY",98,0.609,"MALE",2019,18,29,42,2,1256,656,739,4,48,181,695
30601,"BROOME",29,18.8,28,18.2,57,37,"ELEMENTARY",97,0.63,"FEMALE",2019,18,29,42,2,1256,656,739,4,48,181,695
30601,"BROOME",10,16.1,11,17.7,21,33.9,"MIDDLE/HIGH",41,0.661,"FEMALE",2019,18,29,42,2,1256,656,739,4,48,181,695
30601,"BROOME",20,18,24,21.6,44,39.6,"MIDDLE/HIGH",67,0.604,"MALE",2019,18,29,42,2,1256,656,739,4,48,181,695
30701,"BROOME",39,14.7,36,13.6,75,28.3,"ELEMENTARY",185,0.698,"FEMALE",2019,24,27,38,6,1536,850,872,8,91,244,728
30701,"BROOME",44,15.5,37,13,81,28.5,"ELEMENTARY",192,0.676,"MALE",2019,24,27,38,6,1536,850,872,8,91,244,728
30701,"BROOME",21,19.1,14,12.7,35,31.8,"MIDDLE/HIGH",75,0.682,"FEMALE",2019,24,27,38,6,1536,850,872,8,91,244,728
30701,"BROOME",24,19.8,32,26.4,56,46.3,"MIDDLE/HIGH",65,0.537,"MALE",2019,24,27,38,6,1536,850,872,8,91,244,728
40302,"CATTARAUGUS",15,14.2,21,19.8,36,34,"MIDDLE/HIGH",63,0.594,"MALE",2019,11,17,19,4,1062,554,602,2,43,131,485
40302,"CATTARAUGUS",20,12.7,32,20.4,52,33.1,"ELEMENTARY",105,0.669,"MALE",2019,11,17,19,4,1062,554,602,2,43,131,485
40302,"CATTARAUGUS",17,18.9,11,12.2,28,31.1,"MIDDLE/HIGH",62,0.689,"FEMALE",2019,11,17,19,4,1062,554,602,2,43,131,485
40302,"CATTARAUGUS",31,21.1,21,14.3,52,35.4,"ELEMENTARY",95,0.646,"FEMALE",2019,11,17,19,4,1062,554,602,2,43,131,485
40901,"CATTARAUGUS",12,16,10,13.3,22,29.3,"ELEMENTARY",53,0.707,"FEMALE",2019,5,2,11,11,549,294,306,0,22,65,214
40901,"CATTARAUGUS",11,11.8,19,20.4,30,32.3,"ELEMENTARY",63,0.677,"MALE",2019,5,2,11,11,549,294,306,0,22,65,214
40901,"CATTARAUGUS",13,29.5,9,20.5,22,50,"MIDDLE/HIGH",22,0.5,"FEMALE",2019,5,2,11,11,549,294,306,0,22,65,214
40901,"CATTARAUGUS",12,27.9,9,20.9,21,48.8,"MIDDLE/HIGH",22,0.512,"MALE",2019,5,2,11,11,549,294,306,0,22,65,214
41401,"CATTARAUGUS",14,28.6,11,22.4,25,51,"ELEMENTARY",24,0.49,"FEMALE",2019,4,4,7,1,369,222,182,0,19,49,231
41401,"CATTARAUGUS",8,20,6,15,14,35,"ELEMENTARY",26,0.65,"MALE",2019,4,4,7,1,369,222,182,0,19,49,231
42400,"CATTARAUGUS",40,16.5,29,12,69,28.5,"ELEMENTARY",168,0.694,"FEMALE",2019,53,77,66,11,1684,976,1076,7,161,339,1128
42400,"CATTARAUGUS",45,16.1,50,17.9,95,34.1,"ELEMENTARY",178,0.638,"MALE",2019,53,77,66,11,1684,976,1076,7,161,339,1128
42400,"CATTARAUGUS",26,20,38,29.2,64,49.2,"MIDDLE/HIGH",61,0.469,"FEMALE",2019,53,77,66,11,1684,976,1076,7,161,339,1128
42400,"CATTARAUGUS",23,16,36,25,59,41,"MIDDLE/HIGH",80,0.556,"MALE",2019,53,77,66,11,1684,976,1076,7,161,339,1128
43001,"CATTARAUGUS",12,13.6,14,15.9,26,29.5,"ELEMENTARY",62,0.705,"MALE",2019,2,5,18,43,805,452,451,0,30,133,466
43001,"CATTARAUGUS",18,22,15,18.3,33,40.2,"ELEMENTARY",49,0.598,"FEMALE",2019,2,5,18,43,805,452,451,0,30,133,466
43001,"CATTARAUGUS",12,16.2,21,28.4,33,44.6,"MIDDLE/HIGH",41,0.554,"FEMALE",2019,2,5,18,43,805,452,451,0,30,133,466
43001,"CATTARAUGUS",11,16.2,21,30.9,32,47.1,"MIDDLE/HIGH",36,0.529,"MALE",2019,2,5,18,43,805,452,451,0,30,133,466
43200,"CATTARAUGUS",24,23.3,12,11.7,36,35,"ELEMENTARY",67,0.65,"FEMALE",2019,2,8,78,429,642,624,652,3,117,156,844
43200,"CATTARAUGUS",29,22.8,16,12.6,45,35.4,"ELEMENTARY",82,0.646,"MALE",2019,2,8,78,429,642,624,652,3,117,156,844
43200,"CATTARAUGUS",10,22.7,13,29.5,23,52.3,"MIDDLE/HIGH",16,0.364,"FEMALE",2019,2,8,78,429,642,624,652,3,117,156,844
43200,"CATTARAUGUS",12,16.2,24,32.4,36,48.6,"MIDDLE/HIGH",29,0.392,"MALE",2019,2,8,78,429,642,624,652,3,117,156,844
50401,"CAYUGA",11,17.5,11,17.5,22,34.9,"MIDDLE/HIGH",41,0.651,"FEMALE",2019,4,7,19,6,848,440,482,5,38,105,416
50401,"CAYUGA",7,9.3,13,17.3,20,26.7,"ELEMENTARY",55,0.733,"FEMALE",2019,4,7,19,6,848,440,482,5,38,105,416
50401,"CAYUGA",7,8.2,17,20,24,28.2,"ELEMENTARY",61,0.718,"MALE",2019,4,7,19,6,848,440,482,5,38,105,416
50401,"CAYUGA",11,16.2,19,27.9,30,44.1,"MIDDLE/HIGH",38,0.559,"MALE",2019,4,7,19,6,848,440,482,5,38,105,416
51301,"CAYUGA",21,17.9,22,18.8,43,36.8,"ELEMENTARY",74,0.632,"FEMALE",2019,1,3,15,1,870,452,455,6,17,132,441
51301,"CAYUGA",20,18.2,29,26.4,49,44.5,"ELEMENTARY",56,0.509,"MALE",2019,1,3,15,1,870,452,455,6,17,132,441
51301,"CAYUGA",13,21.3,13,21.3,26,42.6,"MIDDLE/HIGH",35,0.574,"FEMALE",2019,1,3,15,1,870,452,455,6,17,132,441
51301,"CAYUGA",10,17.9,19,33.9,29,51.8,"MIDDLE/HIGH",27,0.482,"MALE",2019,1,3,15,1,870,452,455,6,17,132,441
60301,"CHAUTAUQUA",22,28.9,11,14.5,33,43.4,"ELEMENTARY",43,0.566,"FEMALE",2019,4,4,18,5,758,416,392,1,19,122,359
60301,"CHAUTAUQUA",12,17.6,8,11.8,20,29.4,"ELEMENTARY",48,0.706,"MALE",2019,4,4,18,5,758,416,392,1,19,122,359
60301,"CHAUTAUQUA",12,26.7,10,22.2,22,48.9,"MIDDLE/HIGH",23,0.511,"FEMALE",2019,4,4,18,5,758,416,392,1,19,122,359
